,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,kuukausi,0.589,lausi,0.712
1,tunti,0.575,kaudelta,0.65
2,muost,0.573,kuukausi,0.619
3,kausia,0.555,kauslehti,0.619
4,ivasta,0.549,kaudessa,0.613
5,kaudessa,0.548,kausia,0.601
6,kauden,0.542,vuosi,0.596
7,tiima,0.541,kauden,0.589
8,muofi,0.539,kausikokous,0.584
9,mnosi,0.539,vnosi,0.579
10,vuosi,0.539,kausien,0.578
11,lvuosi,0.538,kauskokous,0.569
12,sitteu,0.536,laudelta,0.567
13,loppuu,0.535,kaudeksi,0.565
14,kaudeksi,0.526,kausikokouksessa,0.558
15,miimeinen,0.526,kaudeu,0.556
16,wuofi,0.524,laudessa,0.553
17,luisa,0.523,dennella,0.549
18,muosi,0.522,kanden,0.549
19,kuluuut,0.521,wuusi,0.547
20,esirippu,0.517,lvuosi,0.546
21,lukukausi,0.513,kautinen,0.544
22,lumaan,0.505,ivuosi,0.541
23,päiivä,0.505,niuosi,0.539
24,viikko,0.5,kausittain,0.534
25,lyhyempi,0.496,kauäen,0.527
26,wiilko,0.49,muusi,0.525
27,kesti,0.49,umosi,0.519
28,kerta,0.487,viides,0.517
29,nmosi,0.486,kerla,0.513
30,testi,0.484,työkausi,0.513
31,umpeen,0.481,loma-aika,0.505
32,cnsimäinen,0.481,lemma,0.503
33,lopulle,0.48,muosi,0.502
34,lunut,0.479,viikko,0.5
35,cnsimäincn,0.477,loppuu,0.5
36,uudempi,0.476,lutettiin,0.5
37,lutus,0.474,lvuofi,0.497
38,kulunut,0.473,wuosi,0.497
39,miitko,0.473,nmosi,0.495
40,päimä,0.47,joululoma,0.495
41,alotettiin,0.468,lunee,0.493
42,alimmainen,0.468,kerraltaan,0.493
43,wuosi,0.467,dentena,0.492
44,kolmas,0.466,tunti,0.492
45,alkama,0.465,aika,0.492
46,viides,0.465,muost,0.49
47,vasta,0.465,lauden,0.489
48,päättyy,0.464,muorokausi,0.489
49,miides,0.463,alkava,0.486
50,kaudelta,0.463,luisa,0.486
51,wuost,0.462,mnosi,0.483
52,lyhempi,0.461,kukausi,0.483
53,wiitto,0.46,wnosi,0.482
54,neljäs,0.46,kahdeskymmenes,0.481
55,aamurusko,0.454,vuobi,0.48
56,sittcu,0.454,utus,0.479
57,jollon,0.454,kerta,0.479
58,pisin,0.453,ues,0.477
59,ensimäinen,0.452,unikko,0.477
60,aika,0.452,viiko,0.476
61,hetki,0.452,lutus,0.474
62,miikko,0.452,kerralta,0.473
63,silte,0.45,miiklo,0.472
64,toiueu,0.448,kuluuut,0.471
65,alkaa,0.447,laudeksi,0.47
66,viimeinen,0.446,muofi,0.47
67,wiimeinen,0.445,nmofi,0.47
68,aila,0.443,romykkäin,0.47
69,takaperin,0.443,vuokra-aika,0.47
70,ulotettiin,0.443,kesäloma,0.469
71,lutetaan,0.441,destoista,0.469
72,taapäin,0.441,kuluva,0.469
73,juhlallisuus,0.441,tilimuosi,0.468
74,aita,0.44,vuosikausi,0.467
75,lauden,0.439,sisataa,0.464
76,ilta,0.438,lausia,0.462
77,wuode,0.437,luisasta,0.462
78,melkeiu,0.437,muasi,0.462
79,loppui,0.435,kausina,0.459
80,jolloiu,0.435,kesäkin,0.458
81,luma,0.435,ncs,0.458
82,ensimäincn,0.433,ajanjakso,0.457
83,lopetettiin,0.433,päiivä,0.457
84,väimä,0.433,wiilto,0.456
85,wnosi,0.432,lukukausi,0.455
86,paimä,0.431,miidcs,0.455
87,allaa,0.43,tvuosi,0.454
88,talmi,0.43,vuosisata,0.454
89,rähinä,0.429,mäliaika,0.453
90,kuluu,0.428,miikko,0.452
91,toiucu,0.428,kautena,0.452
92,pitempi,0.428,viikkokausi,0.451
93,pallo,0.427,miillo,0.45
94,määräaika,0.427,sisata,0.45
95,hämärä,0.427,arentiaika,0.449
96,alkawa,0.426,varsinainen,0.449
97,samallainen,0.426,viilto,0.448
98,altaa,0.426,siset,0.448
99,ensikerran,0.425,rouoft,0.448
