,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,propellerångmaskin,0.835,bicykle,0.775
1,ikalfviga,0.821,öfverköras,0.77
2,nytidda,0.819,sommarkörredskap,0.767
3,sommarkörredskap,0.817,propellerångmaskin,0.765
4,avisofartyg,0.817,startplats,0.765
5,ikalfvig,0.815,hofvagnar,0.765
6,slagterisvin,0.813,kylörn,0.764
7,öfverköras,0.812,förespänd,0.762
8,trägärds,0.812,prenel,0.762
9,startplats,0.811,sidenfana,0.761
10,ullened,0.808,trägärds,0.761
11,ystadsbanan,0.808,ekrarne,0.76
12,ikalfwiga,0.805,stycked,0.759
13,kopparkar,0.804,profkörning,0.759
14,inridning,0.803,storfjorden,0.757
15,vri,0.802,avisofartyg,0.757
16,gallringsbunkar,0.802,iskt,0.756
17,ledamölerne,0.8,marina,0.756
18,vinproducerande,0.8,nytidda,0.755
19,spårsystem,0.8,trottoirerne,0.755
20,nötkreatursförsäkringsförening,0.798,falskmyntarne,0.755
21,alsens,0.797,michigansjön,0.755
22,profkörning,0.797,alsens,0.755
23,hjelmarsnäs,0.796,motsols,0.754
24,centralpark,0.795,monreale,0.754
25,jernbanwagnar,0.795,skolminne,0.753
26,skarfbultar,0.795,sexdubbla,0.753
27,långared,0.795,långsmal,0.753
28,stycked,0.794,inridning,0.752
29,thorsdngen,0.794,vildkatta,0.751
30,winterfoder,0.794,conception,0.75
31,morsta,0.793,skarfbultar,0.749
32,hemeke,0.792,ystadsbanan,0.748
33,skolhusgatan,0.792,ikalfvig,0.748
34,önekas,0.792,slagterisvin,0.748
35,bolstervagn,0.791,björnskinnsmössa,0.748
36,täflingsåldern,0.79,gorde,0.748
37,reservskjuts,0.79,dofhjort,0.747
38,evreux,0.79,ståndman,0.747
39,derjava,0.79,riir,0.747
40,hirarje,0.79,centralpark,0.747
41,helblod,0.79,upföre,0.747
42,patzerade,0.79,örlogseskader,0.746
43,transitobanan,0.789,liggfjädersvagn,0.745
44,piporgel,0.789,tapio,0.745
45,sidenfana,0.789,halfstor,0.745
46,bliftrit,0.789,devalia,0.745
47,ostfriesare,0.789,crofton,0.745
48,skolminne,0.788,derjava,0.745
49,owigor,0.788,håst,0.745
50,skärkista,0.787,loches,0.745
51,lullehof,0.787,fogenhet,0.744
52,dcuua,0.787,karafi,0.744
53,brunkebergstunneln,0.786,kullvräkt,0.744
54,äfwenson,0.786,patzerade,0.743
55,stridspunkt,0.785,tuppfäktning,0.743
56,kopparbunke,0.785,hemeke,0.743
57,myckelmyran,0.785,murghab,0.743
58,gorde,0.785,stadssida,0.742
59,sidosprång,0.785,ölvagn,0.742
60,tunbyholm,0.785,ullened,0.742
61,resewagn,0.785,stötbotten,0.742
62,foote,0.784,ranavalo,0.741
63,järnkrok,0.784,piporgel,0.741
64,berlinervagn,0.784,engelman,0.741
65,pråmkarl,0.784,fästningsplatsen,0.741
66,medelvattenyta,0.784,rullsångare,0.741
67,iiästkommande,0.784,ostfriesare,0.741
68,jagtlöpning,0.784,växtfiber,0.741
69,expeditionskostnad,0.784,påträda,0.741
70,länetö,0.784,järnkrok,0.741
71,koulörer,0.784,delibaba,0.741
72,qvartkista,0.783,ikalfviga,0.741
73,helsyskon,0.783,synte3,0.741
74,teen,0.783,canonflupar,0.741
75,loppel,0.783,nebel,0.741
76,kaptenlöjtn,0.783,transitobanan,0.74
77,zlne,0.783,paragon,0.74
78,weidemann,0.783,gafvelfönstret,0.74
79,herrgårdsras,0.783,kopparbunke,0.739
80,fout,0.782,genomstungna,0.739
81,qerdedels,0.782,mulattskan,0.739
82,stötbotten,0.782,ofih,0.739
83,jernängare,0.782,kaffrerne,0.739
84,kilometres,0.782,lindalsund,0.739
85,loglänga,0.782,långared,0.739
86,fiskesredskap,0.782,utställningsparken,0.739
87,klöfversåningsmaskin,0.782,teaterslätten,0.738
88,prenel,0.781,kroksabel,0.738
89,diligencerna,0.781,nattdräkt,0.738
90,hästkr,0.781,katarinahissens,0.738
91,räfungar,0.781,slejf,0.738
92,afvelsägg,0.781,halsrem,0.738
93,sikrom,0.78,resewagn,0.737
94,rankhyttan,0.78,brunkebergstunneln,0.737
95,vibergs,0.78,hjelmarsnäs,0.737
96,kongoneger,0.78,skolhusgatan,0.737
97,ecklesiastikär,0.78,siméonne,0.737
98,bohlen,0.78,kopparkar,0.737
99,ettfjerdedels,0.78,italiakloth,0.736
